"","ID","EntrezGeneID","ORF","GB_ACC","PROBE_DERIVED_FROM_TRANSCRIPT","SPOT_ID","RosettaGeneModelID"
"1","10025930146",NA,"","AA926913","non-public","","HSG00215848"
"2","10025930335",NA,"","AK021661","AK021661","","HSG00264429"
"3","10025913794","439911","","AL832060","AL832060","","HSG00269218"
"4","10023807248","23443","SLC35A3","NM_012243","non-public","","HSG00202393"
"5","10023809851","84056","KATNAL1","NM_001014380","non-public","","HSG00284910"
"6","10023809233",NA,"","AI559539","AI559539_RC","","HSG00411589"
"7","10025911312","80059","LRRTM4","NM_024993","NM_024993","","HSG00212388"
"8","10023815467","7148","TNXB","NM_007116","NM_007116","","HSG00243994"
"9","10025916454","28663","TRAV20","BC025727","non-public","","HSG00288142"
"10","10025918328",NA,"","BC006563","BC006563","","HSG00245643"
"11","10025925967",NA,"","AA436683","non-public","","HSG00206318"
"12","10025919918",NA,"","BE936939","non-public","","HSG00367661"
"13","10025908736","10333","TLR6","NM_006068","NM_006068","","HSG00228258"
"14","10023817044","4642","MYO1D","AB018270","AB018270","","HSG00297986"
"15","10025906227","80156","","NM_025086","NM_025086","","HSG00274093"
"16","10025909224","126074","C19orf39","NM_175871","NM_175871","","HSG00306121"
"17","10025927868",NA,"","XM_212527","XM_212527","","HSG00363278"
"18","10023806935","10407","SPAG11","NM_016512","NM_016512","","HSG00258893"
"19","10025905605","5939","RBMS2","NM_002898","NM_002898","","HSG00277464"
"20","10023827678",NA,"","AJ243936","AJ243936","","HSG00360903"
"21","10025926618",NA,"","AK024511","AK024511","","HSG00275899"
"22","10023840209","534","ATP6V1G2","NM_130463","NM_130463","","HSG00242873"
"23","10025928144",NA,"","AA625707","non-public","","HSG00428493"
"24","10023823223","6539","SLC6A12","NM_003044","NM_003044","","HSG00277706"
"25","10025909982","80162","ATHL1","NM_025092","NM_025092","","HSG00273281"
"26","10025910882","130951","","NM_138804","NM_138804","","HSG00213641"
"27","10023809882","8608","RDH16","NM_003708","NM_003708","","HSG00282128"
"28","10023818945",NA,"","AI243374","non-public","","HSG00229448"
"29","10025907287","55219","TMEM57","NM_018202","NM_018202","","HSG00208087"
"30","10023817769","6584","SLC22A5","NM_003060","NM_003060","","HSG00237763"
"31","10025918617","387978","","XM_370758","non-public","","HSG00287306"
"32","10023819167","57414","RHBDD2","NM_020684","NM_020684","","HSG00250927"
"33","10025922600",NA,"","AK057104","AK057104","","HSG00238743"
"34","10023816386","8237","USP11","NM_004651","NM_004651","","HSG00253997"
"35","10025916384",NA,"","AL832417","AL832417","","HSG00273925"
"36","10023808754","27202","GPR77","NM_018485","NM_018485","","HSG00306928"
"37","10025929407",NA,"","AK022015","AK022015","","HSG00285654"
"38","10023827532","10961","ERP29","NM_006817","NM_006817","","HSG00278096"
"39","10025929623","4544","MTNR1B","NM_005959","non-public","","HSG00273436"
"40","10023806831","51268","PIPOX","NM_016518","NM_016518","","HSG00298192"
"41","10019874890","91351","","XM_037817","non-public","","HSG00228111"
"42","10026392085","9167","COX7A2L","NM_004718","NM_004718","","HSG00213439"
"43","10023827077","79875","THSD4","NM_024817","non-public","","HSG00290667"
"44","10023814492",NA,"","AK096904","non-public","","HSG00408372"
"45","10025932990",NA,"","AI432417","non-public","","HSG00409303"
"46","10023817744",NA,"","AK095367","non-public","","HSG00405570"
"47","10025919527","340414","C8orf50","XM_499109","non-public","","HSG00256544"
"48","10023828593","63035","BCORL1","NM_021946","NM_021946","","HSG00255026"
"49","10023813492",NA,"","AI217418","non-public","","HSG00274311"
"50","10023806370","2868","GRK4","NM_005307","NM_005307","","HSG00229017"
"51","10025930063",NA,"","AV732504","non-public","","HSG00270535"
"52","10023849027","150271","","AL110216","AL110216","","HSG00314900"
"53","10023814117","2665","GDI2","NM_001494","NM_001494","","HSG00268277"
"54","10025903875","55825","PECR","NM_018441","NM_018441","","HSG00215689"
"55","10023813180","80063","ATF7IP2","NM_024997","non-public","","HSG00294776"
"56","10025906048","11091","WDR5","NM_017588","NM_017588","","HSG00318010"
"57","10025921694",NA,"","AA744967","non-public","","HSG00232340"
"58","10023815302",NA,"","AI222379","non-public","","HSG00351912"
"59","10031920875","400935","","NM_001001694","NM_001001694","","HSG00314452"
"60","10023833721","391124","","XM_497719","non-public","","HSG00210356"
"61","10023821304","162966","ZNF600","NM_198457","non-public","","HSG00305893"
"62","10033668671","9123","SLC16A3","NM_004207","NM_004207","","HSG00298677"
"63","10025926532",NA,"","","non-public","RosettaGeneID: HSG00385996","HSG00385996"
"64","10025923605","90784","","AK001612","AK001612","","HSG00215934"
"65","10025931262",NA,"","BC036546","non-public","","HSG00246692"
"66","10025906731","167681","PRSS35","NM_153362","NM_153362","","HSG00244618"
"67","10023814844","9678","PHF14","NM_014660","NM_014660","","HSG00359427"
"68","10023839723","84288","EFCAB2","NM_032328","NM_032328","","HSG00207308"
"69","10025925811",NA,"","AI770156","non-public","","HSG00364586"
"70","10025911354","7278","TUBA2","NM_079836","NM_079836","","HSG00284992"
"71","10025904342","10602","CDC42EP3","NM_006449","NM_006449","","HSG00211886"
"72","10025912836","786","CACNG1","NM_000727","NM_000727","","HSG00302611"
"73","10023811010","3251","HPRT1","NM_000194","NM_000194","","HSG00254916"
"74","10025931151",NA,"","BC040935","BC040935","","HSG00221466"
"75","10023826913",NA,"","BC027349","non-public","","HSG00303776"
"76","10025909298","168374","ZNF92","NM_152626","NM_152626","","HSG00249150"
"77","10023841140","317762","C14orf65","","non-public","ENSEMBLE: ENST00000298353","HSG00285410"
"78","10025908037","29993","PACSIN1","NM_020804","NM_020804","","HSG00243181"
"79","10025926094",NA,"","BX108188","non-public","","HSG00202419"
"80","10025933759",NA,"","AL832549","AL832549","","HSG00291592"
"81","10025932184",NA,"","NM_018612","non-public","","HSG00401599"
"82","10025922150",NA,"","BG985243","non-public","","HSG00206210"
"83","10025909613","6642","SNX1","NM_152826","NM_152826","","HSG00291262"
"84","10025912350","65264","UBE2Z","NM_023079","NM_023079","","HSG00302465"
"85","10025905437","79954","NOL10","NM_024894","NM_024894","","HSG00212538"
"86","10026395994","7442","TRPV1","NM_018727","NM_018727","","HSG00301682"
"87","10025907942","286023","","NM_173682","NM_173682","","HSG00250530"
"88","10023821864","7454","WAS","NM_000377","NM_000377","","HSG00254699"
"89","10025904985","124565","","NM_138570","NM_138570","","HSG00302883"
"90","10025908157","55056","","NM_017976","NM_017976","","HSG00290238"
"91","10031919791","339531","","","non-public","ENSEMBLE: ENST00000329504","HSG00205655"
"92","10025903348","4363","ABCC1","NM_019901","NM_019901","","HSG00294368"
"93","10023807607","3760","KCNJ3","NM_002239","NM_002239","","HSG00213115"
"94","10025903150","161003","STOML3","NM_145286","NM_145286","","HSG00284890"
"95","10026394013","659","BMPR2","NM_001204","NM_001204","","HSG00214257"
"96","10023824755","339541","","NM_001004307","non-public","","HSG00200557"
"97","10025931963",NA,"","U18302","U18302","","HSG00293648"
"98","10025906036","7798","LUZP1","NM_033631","NM_033631","","HSG00204621"
"99","10025935506",NA,"","XM_167298","XM_167298","","HSG00247204"
"100","10023847177","79716","NPEPL1","NM_024663","NM_024663","","HSG00311886"
"101","10025909664","29119","CTNNA3","NM_013266","NM_013266","","HSG00267650"
"102","10023815673","57471","KIAA1189","AB033015","AB033015","","HSG00214719"
"103","10025911923","2317","FLNB","NM_001457","NM_001457","","HSG00224796"
"104","10025905653","58528","RRAGD","NM_021244","NM_021244","","HSG00243097"
"105","10025904522","996","CDC27","NM_001256","NM_001256","","HSG00302417"
"106","10023834903","","","AF086383","AF086383","","HSG00263423"
"107","10025903511","259249","MRGPRX1","NM_147199","NM_147199","","HSG00274718"
"108","10025928763","","","BC038725","non-public","","HSG00222508"
"109","10025907950","90","ACVR1","NM_001105","NM_001105","","HSG00213093"
"110","10023820643","23632","CA14","NM_012113","NM_012113","","HSG00204403"
"111","10025904000","1992","SERPINB1","NM_030666","NM_030666","","HSG00243405"
"112","10025908544","8898","MTMR2","NM_016156","NM_016156","","HSG00270933"
"113","10025905992","84301","DDI2","NM_032341","NM_032341","","HSG00204934"
"114","10025921381","","","AI907115","non-public","","HSG00365717"
"115","10025933490","","","BU739932","non-public","","HSG00285903"
"116","10025919604","","","AK095753","AK095753","","HSG00312000"
"117","10023849260","","","AF147316","AF147316","","HSG00263199"
"118","10025910728","201266","SLC39A11","NM_139177","NM_139177","","HSG00302873"
"119","10025925951","","","AF090948","AF090948","","HSG00292380"
"120","10023810059","253512","SLC25A30","NM_001010875","non-public","","HSG00282768"
"121","10023816376","11015","KDELR3","NM_006855","NM_006855","","HSG00314678"
"122","10025924577","340094","","XM_295155","non-public","","HSG00233892"
"123","10023813792","160428","ALDH1L2","NM_001034173","non-public","","HSG00278694"
"124","10025903043","7332","UBE2L3","NM_003347","NM_003347","","HSG00314268"
"125","10023824253","4675","NAP1L3","NM_004538","NM_004538","","HSG00254236"
"126","10025921806","","","AF130065","non-public","","HSG00298550"
"127","10023835292","79603","LASS4","NM_024552","NM_024552","","HSG00308325"
"128","10033668852","1592","CYP26A1","NM_057157","NM_057157","","HSG00268282"
"129","10025934697","","","AF147336","AF147336","","HSG00256129"
"130","10031920640","","","AI684822","AI684822","","HSG00325219"
"131","10023843880","129049","RUTBC2","AB075821","AB075821","","HSG00314759"
"132","10025932345","","","AI493097","non-public","","HSG00418468"
"133","10025903738","10023","FRAT1","NM_005479","NM_005479","","HSG00267920"
"134","10025915603","","","XM_209212","XM_209212","","HSG00356098"
"135","10025907459","5519","PPP2R1B","NM_002716","NM_002716","","HSG00272900"
"136","10025906298","55028","C17orf80","NM_017941","NM_017941","","HSG00298189"
"137","10023821781","9659","PDE4DIP","AB007923","AB007923","","HSG00208837"
"138","10023818889","334","APLP2","NM_001642","NM_001642","","HSG00271124"
"139","10025906950","23192","ATG4B","NM_013325","NM_013325","","HSG00213135"
"140","10025909499","285598","ARL10","NM_173664","NM_173664","","HSG00232473"
"141","10025905463","10686","CLDN16","NM_006580","NM_006580","","HSG00222210"
"142","10023850597","","","AK055485","AK055485","","HSG00234213"
"143","10023804657","25911","RP11-529I10.4","AL110240","AL110240","","HSG00269139"
"144","10025929708","","","XM_066284","XM_066284","","HSG00364725"
"145","10023813505","11116","FGFR1OP","NM_007045","NM_007045","","HSG00242430"
"146","10025932631","","","AK090884","AK090884","","HSG00232152"
"147","10025913258","121340","SP7","NM_152860","NM_152860","","HSG00278181"
"148","10025904788","27258","LSM3","NM_014463","NM_014463","","HSG00220140"
"149","10025926365","","","AK055974","AK055974","","HSG00279448"
"150","10025902719","186","AGTR2","NM_000686","NM_000686","","HSG00254279"
"151","10023823586","55349","CHDH","NM_018397","non-public","","HSG00221218"
"152","10023826087","24146","CLDN15","NM_014343","NM_014343","","HSG00251415"
"153","10025917412","284371","","XM_209155","non-public","","HSG00308624"
"154","10023836305","","","AL137372","AL137372","","HSG00256365"
"155","10025923995","","","","non-public","ENSEMBLE: ENST00000313396","HSG00365143"
"156","10025923089","442250","","XM_498134","non-public","","HSG00239154"
"157","10023825387","51501","C11orf73","NM_016411","NM_016411","","HSG00274660"
"158","10023809122","57673","KIAA1553","XM_166320","non-public","","HSG00355471"
"159","10023848954","23347","SMCHD1","","non-public","ENSEMBLE: ENST00000300366","HSG00304229"
"160","10025902668","6891","TAP2","NM_018833","NM_018833","","HSG00244604"
"161","10023822613","26998","FETUB","NM_014375","NM_014375","","HSG00222148"
"162","10023840794","4133","MAP2","AK055674","AK055674","","HSG00214146"
"163","10025925658","441933","OR13G1","NM_001005487","non-public","","HSG00205484"
"164","10025927842","339782","","XM_295062","non-public","","HSG00397543"
"165","10023817736","419","ART3","NM_001179","NM_001179","","HSG00229607"
"166","10023829555","","","AF085874","AF085874","","HSG00275838"
"167","10025907331","203100","HTRA4","NM_153692","NM_153692","","HSG00258527"
"168","10025909422","79664","NARG2","NM_024611","NM_024611","","HSG00290288"
"169","10023820829","","","AK123745","non-public","","HSG00201831"
"170","10023809524","28989","C9orf32","NM_014064","NM_014064","","HSG00263132"
"171","10025927534","390098","","XM_497270","non-public","","HSG00274619"
"172","10025912000","157376","C8orf78","NM_182525","NM_182525","","HSG00258416"
"173","10023838198","","","","non-public","ENSEMBLE: ENST00000242429","HSG00299851"
"174","10025904417","55671","KIAA2010","NM_017936","NM_017936","","HSG00287506"
"175","10023835071","80157","","NM_025087","NM_025087","","HSG00228584"
"176","10023848193","8907","AP1M1","NM_032493","NM_032493","","HSG00307471"
"177","10025920760","480","ATP1A4","NM_001001734","non-public","","HSG00205934"
"178","10023850973","340096","","","non-public","ENSEMBLE: ENST00000274165","HSG00235752"
"179","10025912520","6613","SUMO2","NM_006937","NM_006937","","HSG00302259"
"180","10025930955","","","AK124257","non-public","","HSG00251501"
"181","10025909405","9823","ARMCX2","NM_177949","NM_177949","","HSG00254217"
"182","10025927996","6955","TRA@","AF532857","non-public","","HSG00288166"
"183","10033668658","8884","SLC5A6","NM_021095","NM_021095","","HSG00213000"
"184","10025921205","","","XM_104158","XM_104158","","HSG00365178"
"185","10025912119","140876","C20orf175","NM_080829","NM_080829","","HSG00311702"
"186","10025905343","348995","NUP43","NM_024647","NM_024647","","HSG00243495"
"187","10025919651","286059","","AK024295","AK024295","","HSG00259205"
"188","10023822235","4306","NR3C2","NM_000901","NM_000901","","HSG00227321"
"189","10023818053","55082","","NM_018011","NM_018011","","HSG00284904"
"190","10025912727","65117","","NM_023012","NM_023012","","HSG00282233"
"191","10025917164","","","AK125077","non-public","","HSG00355878"
"192","10023817629","5617","PRL","NM_000948","NM_000948","","HSG00243358"
"193","10023809301","1474","CST6","NM_001323","NM_001323","","HSG00272224"
"194","10025918477","391481","","XM_115833","XM_115833","","HSG00218701"
"195","10023810809","56034","PDGFC","NM_016205","NM_016205","","HSG00228227"
"196","10023806003","652995","","BC055082","non-public","","HSG00309835"
"197","10023834675","91464","","AK025181","AK025181","","HSG00315471"
"198","10025915790","","","AK055067","AK055067","","HSG00312318"
"199","10023840698","84626","","AB058765","AB058765","","HSG00251816"
"200","10025930626","93964","","AL365407","AL365407","","HSG00308155"
"201","10023825349","","","AI168225","non-public","","HSG00356861"
"202","10025933862","","","AI538485","non-public","","HSG00304292"
"203","10023811405","","","AK126800","non-public","","HSG00217286"
"204","10025911625","23020","ASCC3L1","NM_014014","NM_014014","","HSG00214304"
"205","10025930306","169436","C9orf96","NM_153710","non-public","","HSG00261201"
"206","10025917657","","","AK022461","AK022461","","HSG00223431"
"207","10025934784","","","XM_211775","XM_211775","","HSG00217932"
"208","10025923389","","","AK022039","AK022039","","HSG00216584"
"209","10023818899","5255","PHKA1","NM_002637","NM_002637","","HSG00253733"
"210","10033668583","57335","ZNF286","NM_020652","NM_020652","","HSG00297711"
"211","10025934298","","","XM_210509","XM_210509","","HSG00363941"
"212","10025907067","150","ADRA2A","NM_000681","NM_000681","","HSG00269685"
"213","10025911050","125965","COX6B2","NM_144613","NM_144613","","HSG00307980"
"214","10025916736","286478","","XM_212326","non-public","","HSG00255044"
"215","10025934069","","","AW872690","non-public","","HSG00265855"
"216","10031920294","401123","","NM_207490","NM_207490","","HSG00228575"
"217","10025920002","","","BC033962","BC033962","","HSG00290528"
"218","10023819012","","","BC046515","non-public","","HSG00404894"
"219","10023834042","411","ARSB","AK026942","AK026942","","HSG00236732"
"220","10023828150","204","AK2","NM_013411","NM_013411","","HSG00202415"
"221","10023825618","9638","FEZ1","NM_005103","NM_005103","","HSG00273435"
"222","10023832486","116071","BATF2","NM_138456","NM_138456","","HSG00272842"
"223","10025905724","25914","RTTN","NM_173630","NM_173630","","HSG00303638"
"224","10023835315","79991","OBFC1","NM_024928","NM_024928","","HSG00268731"
"225","10023847376","63951","DMRTA1","AJ290954","AJ290954","","HSG00262191"
"226","10023816943","54544","C1orf42","NM_019060","NM_019060","","HSG00207990"
"227","10023832228","8463","TEAD2","NM_003598","NM_003598","","HSG00307526"
"228","10025905588","5538","PPT1","NM_000310","NM_000310","","HSG00200267"
"229","10025914665","","","XM_115229","XM_115229","","HSG00381773"
"230","10023837835","114783","LMTK3","AB067470","AB067470","","HSG00308143"
"231","10025928305","","","AV735583","non-public","","HSG00212885"
"232","10025919395","155100","","XM_054313","non-public","","HSG00353933"
"233","10025932454","","","H30409","non-public","","HSG00228361"
"234","10023807401","1087","CEACAM7","NM_006890","NM_006890","","HSG00307454"
"235","10025903854","91603","CCDC16","NM_052857","NM_052857","","HSG00302176"
"236","10025913242","3595","IL12RB2","NM_001559","NM_001559","","HSG00205300"
"237","10025912879","6118","RPA2","NM_002946","NM_002946","","HSG00204414"
"238","10025935036","","","XM_171902","XM_171902","","HSG00364990"
"239","10025920182","","","AL833043","AL833043","","HSG00378218"
"240","10023821790","9856","KIAA0319","NM_014809","NM_014809","","HSG00244547"
"241","10025906399","317772","HIST2H2AB","NM_175065","NM_175065","","HSG00208089"
"242","10023833484","79686","C14orf139","NM_024633","NM_024633","","HSG00287849"
"243","10023825339","8468","FKBP6","NM_003602","NM_003602","","HSG00251327"
"244","10025925591","","","XM_166894","XM_166894","","HSG00363263"
"245","10025907031","284313","","NM_178521","NM_178521","","HSG00308582"
"246","10025929589","","","AL137617","AL137617","","HSG00238217"
"247","10025903758","55188","RIC8B","NM_018157","NM_018157","","HSG00277701"
"248","10025935093","","","BQ225423","non-public","","HSG00230556"
"249","10025906737","1794","DOCK2","NM_004946","NM_004946","","HSG00236738"
"250","10025917220","284593","FAM41C","XM_211538","XM_211538","","HSG00207212"
"251","10023824470","55423","SIRPG","NM_018556","NM_018556","","HSG00312121"
"252","10025925940","","","AK056845","AK056845","","HSG00221539"
"253","10025912269","146857","SLFN13","NM_144682","NM_144682","","HSG00301902"
"254","10025910989","222171","","NM_175887","NM_175887","","HSG00251029"
"255","10023826689","4501","MT1X","NM_002450","NM_002450","","HSG00294888"
"256","10033668961","6513","SLC2A1","NM_006516","NM_006516","","HSG00208281"
"257","10025915204","","","AA001641","non-public","","HSG00243722"
"258","10025904448","90956","ADCK2","NM_052853","NM_052853","","HSG00250011"
"259","10025925896","","","AK091809","AK091809","","HSG00210937"
"260","10025922116","","","","non-public","RosettaGeneID: HSG00362325","HSG00362325"
"261","10031920652","","","","non-public","RosettaGeneID: HSG00318186","HSG00318186"
"262","10025917495","","","BF918686","non-public","","HSG00355989"
"263","10025925078","494514","C18orf56","BC028301","BC028301","","HSG00304244"
"264","10033668474","2266","FGG","NM_000509","NM_000509","","HSG00229596"
"265","10025909736","7007","TECTA","NM_005422","NM_005422","","HSG00272682"
"266","10025903958","57794","SF4","NM_182812","NM_182812","","HSG00306743"
"267","10025912429","7472","WNT2","NM_003391","NM_003391","","HSG00250027"
"268","10025924647","","","AA412731","non-public","","HSG00298059"
"269","10023807611","56920","SEMA3G","NM_020163","NM_020163","","HSG00225787"
"270","10023828871","91373","UAP1L1","AK074143","AK074143","","HSG00261455"
"271","10025913696","","","AA431127","non-public","","HSG00282978"
"272","10031920594","343171","OR2W3","NM_001001957","NM_001001957","","HSG00356997"
"273","10025916624","","","AA897697","non-public","","HSG00279557"
"274","10023836168","4713","NDUFB7","NM_004146","NM_004146","","HSG00307919"
"275","10025911487","81894","SLC25A28","NM_031212","NM_031212","","HSG00268460"
"276","10023823655","","","AA039713","non-public","","HSG00241653"
"277","10031920438","155066","ATP6V0E2L","NM_145230","NM_145230","","HSG00245455"
"278","10033668759","4129","MAOB","NM_000898","NM_000898","","HSG00254260"
"279","10025934289","","","AF147303","AF147303","","HSG00300217"
"280","10025930496","283571","","XM_372528","non-public","","HSG00287336"
"281","10023811004","4790","NFKB1","NM_003998","NM_003998","","HSG00227710"
"282","10023830863","5465","PPARA","AF086231","AF086231","","HSG00354020"
"283","10025908174","4493","MT1E","NM_175617","NM_175617","","HSG00296953"
"284","10025919446","390773","","XM_496190","non-public","","HSG00299948"
"285","10025910402","8743","TNFSF10","NM_003810","NM_003810","","HSG00221690"
"286","10025906933","11314","CD300A","NM_007261","NM_007261","","HSG00301937"
"287","10033668829","7126","TNFAIP1","NM_021137","NM_021137","","HSG00302031"
"288","10025935360","","","AA629292","non-public","","HSG00316251"
"289","10023805330","","","AL133570","non-public","","HSG00407105"
"290","10025907066","54851","ANKRD49","NM_017704","NM_017704","","HSG00273270"
"291","10025917858","","","AW182684","non-public","","HSG00203095"
"292","10025910822","56111","PCDHGA4","NM_032053","NM_032053","","HSG00238383"
"293","10023827966","1182","CLCN3","AL117599","AL117599","","HSG00228253"
"294","10025927504","","","BX110797","non-public","","HSG00316353"
"295","10025907771","3841","KPNA5","NM_002269","NM_002269","","HSG00241973"
"296","10025915315","","","BC039482","BC039482","","HSG00255995"
"297","10031920428","139735","","XM_066859","non-public","","HSG00254923"
"298","10031920161","26737","OR1L1","NM_001005236","NM_001005236","","HSG00261311"
"299","10023824183","112","ADCY6","NM_020983","NM_020983","","HSG00276835"
"300","10025907086","134359","","NM_152408","NM_152408","","HSG00236898"
"301","10023845271","401525","","","non-public","ENSEMBLE: ENST00000277004","HSG00357016"
"302","10025911126","153129","","NM_173514","NM_173514","","HSG00232416"
"303","10031920842","23074","","","non-public","ENSEMBLE: ENST00000356828","HSG00278656"
"304","10025911235","56849","TCEAL7","NM_152278","NM_152278","","HSG00255106"
"305","10023822011","","","AA922016","non-public","","HSG00412943"
"306","10023816669","440278","","BC066967","non-public","","HSG00289329"
"307","10031919696","400511","","NM_207448","NM_207448","","HSG00295092"
"308","10025922200","","","AW882164","non-public","","HSG00227965"
"309","10025926711","","","XM_064923","XM_064923","","HSG00309587"
"310","10023805511","4515","MTCP1","NM_014221","NM_014221","","HSG00254688"
"311","10031920252","5732","PTGER2","NM_000956","non-public","","HSG00288088"
"312","10023820833","55435","C4orf16","NM_018569","NM_018569","","HSG00228251"
"313","10023827455","441450","","XM_499151","non-public","","HSG00263986"
"314","10025906893","256051","ZNF549","NM_153263","NM_153263","","HSG00305874"
"315","10025905202","3269","HRH1","NM_000861","NM_000861","","HSG00226403"
"316","10023820609","5768","QSCN6","NM_002826","NM_002826","","HSG00206832"
"317","10025903245","5134","PDCD2","NM_144781","NM_144781","","HSG00243392"
"318","10023806926","","","BC017972","non-public","","HSG00200419"
"319","10023813709","11026","LILRA3","NM_006865","NM_006865","","HSG00306261"
"320","10025915333","","","","non-public","RosettaGeneID: HSG00364097","HSG00364097"
"321","10025908803","3105","HLA-A","NM_002116","NM_002116","","HSG00243533"
"322","10023850233","121952","","","non-public","ENSEMBLE: ENST00000298105","HSG00282765"
"323","10025933832","","","XM_067006","XM_067006","","HSG00362300"
"324","10023848137","","","AK000769","AK000769","","HSG00423489"
"325","10023816892","","","AL157455","AL157455","","HSG00291552"
"326","10025903769","26659","OR7A5","NM_017506","NM_017506","","HSG00307529"
"327","10025906599","8941","CDK5R2","NM_003936","NM_003936","","HSG00214095"
"328","10023847745","8470","SORBS2","NM_021069","non-public","","HSG00227652"
"329","10025917445","","","CR591483","non-public","","HSG00238931"
"330","10025932752","","","XM_060240","XM_060240","","HSG00382951"
"331","10025913656","27068","PPA2","NM_001034193","non-public","","HSG00227504"
"332","10025915696","54088","C21orf23","AI631963","non-public","","HSG00418736"
"333","10025927022","","","AK022645","AK022645","","HSG00222547"
"334","10025934352","","","BC014936","BC014936","","HSG00216093"
"335","10025916195","","","","non-public","RosettaGeneID: HSG00361124","HSG00361124"
"336","10025907878","2843","GPR20","NM_005293","NM_005293","","HSG00258812"
"337","10023825532","1378","CR1","NM_000651","NM_000651","","HSG00201217"
"338","10023817472","11156","PTP4A3","NM_032611","non-public","","HSG00258608"
"339","10023812126","","","AK123390","non-public","","HSG00259609"
"340","10025931112","","","BG756049","non-public","","HSG00428587"
"341","10025933312","","","BG250475","non-public","","HSG00306707"
"342","10025930883","283592","C14orf86","BC037859","BC037859","","HSG00285743"
"343","10025905746","256435","ST6GALNAC3","NM_152996","NM_152996","","HSG00207382"
"344","10025926914","","","CD656753","non-public","","HSG00296170"
"345","10031919925","6694","SPP2","BX405936","BX405936","","HSG00214040"
"346","10025918135","155036","","XM_376722","non-public","","HSG00399689"
"347","10025927665","256280","CARM1L","XM_171224","non-public","","HSG00392789"
"348","10025903104","8453","CUL2","NM_003591","NM_003591","","HSG00267706"
"349","10031919993","","","","non-public","ENSEMBLE: ENST00000330578","HSG00352314"
"350","10023808557","9201","DCAMKL1","NM_004734","NM_004734","","HSG00284545"
"351","10025922249","","","XM_209815","XM_209815","","HSG00398939"
"352","10025903631","79634","SCRN3","NM_024583","NM_024583","","HSG00214127"
"353","10023822099","9170","EDG4","NM_004720","NM_004720","","HSG00308295"
"354","10025913889","440432","","AL049275","AL049275","","HSG00298027"
"355","10025913488","","","","non-public","RosettaGeneID: HSG00366173","HSG00366173"
"356","10025928173","","","BE768874","non-public","","HSG00371619"
"357","10023828973","64805","P2RY12","NM_022788","NM_022788","","HSG00222216"
"358","10023835054","","","AK093548","non-public","","HSG00216549"
"359","10025911388","4440","MSI1","NM_002442","NM_002442","","HSG00278215"
"360","10025906850","5831","PYCR1","NM_006907","NM_006907","","HSG00317655"
"361","10023838467","","","","non-public","RosettaGeneID: HSG00355057","HSG00355057"
"362","10025915694","283389","","XM_211009","XM_211009","","HSG00280415"
"363","10023816002","","","AL359559","non-public","","HSG00216778"
"364","10025934226","","","AI766032","non-public","","HSG00223675"
"365","10023829613","","","","non-public","ENSEMBLE: ENST00000328132","HSG00288261"
"366","10025908688","51000","SLC35B3","NM_015948","NM_015948","","HSG00242100"
"367","10025922392","","","W92206","non-public","","HSG00233930"
"368","10023828085","23165","NUP205","D86978","D86978","","HSG00245376"
"369","10025906481","8545","CGGBP1","NM_003663","NM_003663","","HSG00225927"
"370","10025904619","3467","IFNW1","NM_002177","NM_002177","","HSG00262835"
"371","10025918357","","","XM_210636","XM_210636","","HSG00237368"
"372","10025909942","4674","NAP1L2","NM_021963","NM_021963","","HSG00254262"
"373","10025912439","4846","NOS3","NM_000603","NM_000603","","HSG00248517"
"374","10023818039","55207","ARL8B","NM_018184","NM_018184","","HSG00219715"
"375","10023838890","","","AK055495","AK055495","","HSG00412098"
"376","10025925254","","","","non-public","RosettaGeneID: HSG00365065","HSG00365065"
"377","10023816919","","","R17720","non-public","","HSG00399523"
"378","10025923364","440835","","XM_498884","non-public","","HSG00314532"
"379","10025918005","","","AA757019","non-public","","HSG00242691"
"380","10025905561","9149","DYRK1B","NM_006484","NM_006484","","HSG00307076"
"381","10025906794","8542","APOL1","NM_145344","NM_145344","","HSG00314277"
"382","10023809749","10154","PLXNC1","AF035307","AF035307","","HSG00276986"
"383","10023823293","90639","","NM_001031617","non-public","","HSG00245265"
"384","10031920692","378951","RBMY1J","NM_001006117","NM_001006117","","HSG00352976"
"385","10025908092","10666","CD226","NM_006566","NM_006566","","HSG00303903"
"386","10025906868","6891","TAP2","NM_000544","NM_000544","","HSG00244604"
"387","10023804700","389538","","XM_371936","non-public","","HSG00251228"
"388","10023839356","391045","","","non-public","ENSEMBLE: ENST00000290068","HSG00206186"
"389","10025910321","10114","HIPK3","NM_005734","NM_005734","","HSG00271141"
"390","10025932473","57463","AMIGO1","AB032989","AB032989","","HSG00204763"
"391","10025902604","206938","C9orf94","NM_152702","NM_152702","","HSG00261541"
"392","10025919094","","","AA781928","non-public","","HSG00218937"
"393","10025932192","","","CA943424","non-public","","HSG00287357"
"394","10023811682","23046","KIF21B","NM_017596","NM_017596","","HSG00206293"
"395","10025919870","440753","","XM_097741","XM_097741","","HSG00311225"
"396","10025908042","79412","KREMEN2","NM_024507","NM_024507","","HSG00295587"
"397","10025929138","","","AA506722","non-public","","HSG00419360"
"398","10023826066","5595","MAPK3","X60188","X60188","","HSG00296233"
"399","10025903463","221393","GPR115","NM_153838","NM_153838","","HSG00241901"
